Wavelength,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
498,0.892248,0.801889,0.660262,0.934442,0.789374
499,0.893481,0.803191,0.660734,0.935153,0.790406
500,0.894163,0.803965,0.661091,0.935361,0.791338
501,0.895378,0.804867,0.661644,0.93586,0.79277
502,0.896426,0.806006,0.662175,0.936556,0.793871
503,0.897126,0.807405,0.662564,0.937235,0.794552
504,0.898355,0.809074,0.66291,0.937649,0.796076
505,0.899939,0.810568,0.663354,0.938126,0.797294
506,0.901366,0.811755,0.66385,0.938756,0.798341
507,0.902279,0.812753,0.664285,0.939509,0.79955
508,0.90341,0.814191,0.66451,0.940221,0.800472
509,0.904733,0.815924,0.665153,0.940771,0.801564
510,0.906034,0.817439,0.665945,0.941246,0.802784
511,0.90701,0.818086,0.666008,0.941879,0.803724
512,0.908012,0.819216,0.666671,0.942345,0.804922
513,0.909146,0.820635,0.667626,0.942699,0.806282
514,0.910402,0.822053,0.668374,0.943172,0.807647
515,0.91158,0.823572,0.668507,0.944297,0.808946
516,0.913006,0.825139,0.669051,0.945214,0.810271
517,0.914439,0.826596,0.669936,0.945877,0.811569
518,0.915546,0.827855,0.670672,0.946525,0.812785
519,0.916846,0.829514,0.671142,0.946856,0.814169
520,0.918337,0.831176,0.671785,0.94766,0.815737
521,0.919758,0.832645,0.672602,0.948838,0.817224
522,0.920626,0.834041,0.673064,0.949235,0.818095
523,0.92183,0.835525,0.673708,0.94992,0.81947
524,0.923043,0.837042,0.674553,0.950628,0.820964
525,0.92402,0.838614,0.675507,0.951121,0.822209
526,0.925726,0.840738,0.676542,0.952235,0.824064
527,0.927204,0.842577,0.677446,0.953013,0.825671
528,0.92848,0.844191,0.678379,0.953544,0.827078
529,0.930104,0.846108,0.67967,0.954488,0.828816
530,0.931387,0.847527,0.680897,0.955311,0.83028
531,0.932592,0.849064,0.682068,0.956155,0.831784
532,0.933963,0.851074,0.683274,0.957065,0.833577
533,0.935533,0.853208,0.684667,0.957755,0.835622
534,0.93686,0.855276,0.685942,0.958632,0.837601
535,0.938127,0.857201,0.687275,0.959541,0.83937
536,0.939682,0.859058,0.68892,0.960294,0.841002
537,0.941689,0.861344,0.690724,0.961473,0.843237
538,0.943039,0.86345,0.69244,0.962545,0.845278
539,0.943907,0.865304,0.694132,0.963391,0.847062
540,0.945644,0.867375,0.696135,0.964325,0.84926
541,0.947088,0.869479,0.697961,0.965255,0.851301
542,0.948498,0.871728,0.699912,0.966229,0.853291
543,0.950113,0.874154,0.702187,0.967242,0.855396
544,0.951376,0.876467,0.704282,0.968059,0.857594
545,0.952785,0.878768,0.706597,0.968979,0.859882
546,0.954391,0.88101,0.709146,0.970059,0.86223
547,0.955995,0.883125,0.711748,0.971199,0.864585
548,0.957297,0.885426,0.714261,0.972098,0.866787
549,0.958516,0.887719,0.717069,0.973096,0.869113
550,0.959816,0.889966,0.720225,0.974232,0.871592
551,0.961195,0.892434,0.723249,0.975023,0.873819
552,0.962577,0.894894,0.726306,0.975949,0.87632
553,0.96406,0.897365,0.72953,0.977075,0.878952
554,0.965655,0.899887,0.732993,0.978264,0.881476
555,0.966839,0.902303,0.736568,0.979109,0.884059
556,0.968001,0.904715,0.740111,0.980001,0.886754
557,0.969302,0.907124,0.743688,0.981011,0.889467
558,0.970689,0.90947,0.74753,0.98194,0.892015
559,0.972063,0.91199,0.751525,0.982802,0.894518
